"symbol","uniprot","ensembl","entrez","name","geneset"
"PEX1","O43933","ENSG00000127980",5189,"Peroxisome biogenesis factor 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPATA5L1","Q9BVQ7","ENSG00000171763",79029,"Spermatogenesis-associated protein 5-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AHCY","P23526","ENSG00000101444",191,"Adenosylhomocysteinase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AHCYL1","O43865","ENSG00000168710",10768,"S-adenosylhomocysteine hydrolase-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AKAP8","O43823","ENSG00000105127",10270,"A-kinase anchor protein 8","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AKAP8L","Q9ULX6","ENSG00000011243",26993,"A-kinase anchor protein 8-like","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZNF326","Q5BKZ1","ENSG00000162664",284695,"DBIRD complex subunit ZNF326","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MYORG","Q6NSJ0","ENSG00000164976",57462,"Myogenesis-regulating glycosidase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"APLP1","P51693","ENSG00000105290",333,"Amyloid-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"APLP2","Q06481","ENSG00000084234",334,"Amyloid-like protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CLTRN","Q9HBJ8","ENSG00000147003",57393,"Collectrin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCL3","P20749","ENSG00000069399",602,"B-cell lymphoma 3 protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AZIN1","O14977","ENSG00000155096",51582,"Antizyme inhibitor 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ODC1","P11926","ENSG00000115758",4953,"Ornithine decarboxylase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARMCX1","Q9P291","ENSG00000126947",51309,"Armadillo repeat-containing X-linked protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARMCX2","Q7L311","ENSG00000184867",9823,"Armadillo repeat-containing X-linked protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARMCX6","Q7L4S7","ENSG00000198960",54470,"Protein ARMCX6","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BSG","P35613","ENSG00000172270",682,"Basigin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"EMB","Q6PCB8","ENSG00000170571",133418,"Embigin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"NPTN","Q9Y639","ENSG00000156642",27020,"Neuroplastin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCL7A","Q4VC05","ENSG00000282873",605,"B-cell CLL/lymphoma 7 protein family member A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ODAD2","Q5T2S8","ENSG00000169126",55130,"Outer dynein arm-docking complex subunit 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CRYGA","P11844","ENSG00000168582",1418,"Gamma-crystallin A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CRYGB","P07316","ENSG00000182187",1419,"Gamma-crystallin B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CRYGC","P07315","ENSG00000285011",1420,"Gamma-crystallin C","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CRYGD","P07320","ENSG00000285434",1421,"Gamma-crystallin D","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TM2D3","Q9BRN9","ENSG00000184277",80213,"TM2 domain-containing protein 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BLCAP","P62952","ENSG00000166619",10904,"Bladder cancer-associated protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CPS1","P31327","ENSG00000021826",1373,"Carbamoyl-phosphate synthase [ammonia], mitochondrial","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CA10","Q9NS85","ENSG00000154975",56934,"Carbonic anhydrase-related protein 10","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CA11","O75493","ENSG00000063180",770,"Carbonic anhydrase-related protein 11","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CA8","P35219","ENSG00000178538",767,"Carbonic anhydrase-related protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZW10","O43264","ENSG00000086827",9183,"Centromere/kinetochore protein zw10 homolog","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CLASP1","Q7Z460","ENSG00000074054",23332,"CLIP-associating protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CLASP2","O75122","ENSG00000163539",23122,"CLIP-associating protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"RTRAF","Q9Y224","ENSG00000087302",51637,"RNA transcription, translation and transport factor protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CUZD1","Q86UP6","ENSG00000138161",50624,"CUB and zona pellucida-like domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DCBLD1","Q8N8Z6","ENSG00000164465",285761,"Discoidin, CUB and LCCL domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DCBLD2","Q96PD2","ENSG00000057019",131566,"Discoidin, CUB and LCCL domain-containing protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MFRP","Q9BY79","ENSG00000235718",83552,"Membrane frizzled-related protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"NETO1","Q8TDF5","ENSG00000166342",81832,"Neuropilin and tolloid-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FRS2","Q8WU20","ENSG00000166225",10818,"Fibroblast growth factor receptor substrate 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"EPS8L3","Q8TE67","ENSG00000198758",79574,"Epidermal growth factor receptor kinase substrate 8-like protein 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCCIP","Q9P287","ENSG00000107949",56647,"BRCA2 and CDKN1A-interacting protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"IRAG2","Q12912","ENSG00000118308",4033,"Inositol 1,4,5-triphosphate receptor associated 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PEX13","Q92968","ENSG00000162928",5194,"Peroxisomal membrane protein PEX13","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SH2D3A","Q9BRG2","ENSG00000125731",10045,"SH2 domain-containing protein 3A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"OGFR","Q9NZT2","ENSG00000060491",11054,"Opioid growth factor receptor","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PLA2G12B","Q9BX93","ENSG00000138308",84647,"Group XIIB secretory phospholipase A2-like protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"VANGL1","Q8TAA9","ENSG00000173218",81839,"Vang-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FADS1","O60427","ENSG00000149485",3992,"Acyl-CoA (8-3)-desaturase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FADS2","O95864","ENSG00000134824",9415,"Acyl-CoA 6-desaturase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FTH1","P02794","ENSG00000167996",2495,"Ferritin heavy chain","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"NAALADL2","Q58DX5","ENSG00000177694",254827,"Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GAPDHS","O14556","ENSG00000105679",26330,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GORASP2","Q9H8Y8","ENSG00000115806",26003,"Golgi reassembly-stacking protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"HRG","P04196","ENSG00000113905",3273,"Histidine-rich glycoprotein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"HIGD2A","Q9BW72","ENSG00000146066",192286,"HIG1 domain family member 2A, mitochondrial","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SH2D1A","O60880","ENSG00000183918",4068,"SH2 domain-containing protein 1A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SH2D1B","O14796","ENSG00000198574",117157,"SH2 domain-containing protein 1B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"IRS2","Q9Y4H2","ENSG00000185950",8660,"Insulin receptor substrate 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"INSIG2","Q9Y5U4","ENSG00000125629",51141,"Insulin-induced gene 2 protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"IFITM1","P13164","ENSG00000185885",8519,"Interferon-induced transmembrane protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ERBIN","Q96RT1","ENSG00000112851",55914,"Erbin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRCH1","Q9Y2L9","ENSG00000136141",23143,"Leucine-rich repeat and calponin homology domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRCH4","O75427","ENSG00000077454",4034,"Leucine-rich repeat and calponin homology domain-containing protein 4","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRRC8A","Q8IWT6","ENSG00000136802",56262,"Volume-regulated anion channel subunit LRRC8A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRRC8B","Q6P9F7","ENSG00000197147",23507,"Volume-regulated anion channel subunit LRRC8B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRRC8E","Q6NSJ5","ENSG00000171017",80131,"Volume-regulated anion channel subunit LRRC8E","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MFHAS1","Q9Y4C4","ENSG00000147324",9258,"Malignant fibrous histiocytoma-amplified sequence 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ALOX12B","O75342","ENSG00000179477",242,"Arachidonate 12-lipoxygenase, 12R-type","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ALOXE3","Q9BYJ1","ENSG00000179148",59344,"Hydroperoxide isomerase ALOXE3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LAMP2","P13473","ENSG00000005893",3920,"Lysosome-associated membrane glycoprotein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MRC2","Q9UBG0","ENSG00000011028",9902,"C-type mannose receptor 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PLLP","Q9Y342","ENSG00000102934",51090,"Plasmolipin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PLP2","Q04941","ENSG00000102007",5355,"Proteolipid protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TOMM40L","Q969M1","ENSG00000158882",84134,"Mitochondrial import receptor subunit TOM40B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SYNJ2BP","P57105","ENSG00000213463",55333,"Synaptojanin-2-binding protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TXNL4A","P83876","ENSG00000141759",10907,"Thioredoxin-like protein 4A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BUB3","O43684","ENSG00000154473",9184,"Mitotic checkpoint protein BUB3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GPHN","Q9NQX3","ENSG00000171723",10243,"Gephyrin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GPM6A","P51674","ENSG00000150625",2823,"Neuronal membrane glycoprotein M6-a","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GPM6B","Q13491","ENSG00000046653",2824,"Neuronal membrane glycoprotein M6-b","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PLP1","P60201","ENSG00000123560",5354,"Myelin proteolipid protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"NAT10","Q9H0A0","ENSG00000135372",55226,"RNA cytidine acetyltransferase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DUOX1","Q9NRD9","ENSG00000137857",53905,"Dual oxidase 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BID","P55957","ENSG00000015475",637,"BH3-interacting domain death agonist","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BIK","Q13323","ENSG00000100290",638,"Bcl-2-interacting killer","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BABAM2","Q9NXR7","ENSG00000158019",9577,"BRISC and BRCA1-A complex member 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PERP","Q96FX8","ENSG00000112378",64065,"p53 apoptosis effector related to PMP-22","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TMEM47","Q9BQJ4","ENSG00000147027",83604,"Transmembrane protein 47","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PALMD","Q9NP74","ENSG00000099260",54873,"Palmdelphin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MDC1","Q14676","ENSG00000224587",9656,"Mediator of DNA damage checkpoint protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PXMP2","Q9NR77","ENSG00000176894",5827,"Peroxisomal membrane protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PIGP","P57054","ENSG00000185808",51227,"Phosphatidylinositol N-acetylglucosaminyltransferase subunit P","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PSME3","P61289","ENSG00000131467",10197,"Proteasome activator complex subunit 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PTMS","P20962","ENSG00000159335",5763,"Parathymosin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"RAD51AP1","Q96B01","ENSG00000111247",10635,"RAD51-associated protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FSD1","Q9BTV5","ENSG00000105255",79187,"Fibronectin type III and SPRY domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FSD2","A1L4K1","ENSG00000186628",123722,"Fibronectin type III and SPRY domain-containing protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CMYA5","Q8N3K9","ENSG00000164309",202333,"Cardiomyopathy-associated protein 5","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPAG4","Q9NPE6","ENSG00000061656",6676,"Sperm-associated antigen 4 protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SGCB","Q16585","ENSG00000163069",6443,"Beta-sarcoglycan","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"RAD21","O60216","ENSG00000164754",5885,"Double-strand-break repair protein rad21 homolog","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPSB1","Q96BD6","ENSG00000171621",80176,"SPRY domain-containing SOCS box protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"STMN1","P16949","ENSG00000117632",3925,"Stathmin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"STRN3","Q13033","ENSG00000196792",29966,"Striatin-3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ST7","Q9NRC1","ENSG00000004866",7982,"Suppressor of tumorigenicity 7 protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ST7L","Q8TDW4","ENSG00000007341",54879,"Suppressor of tumorigenicity 7 protein-like","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CISH","Q9NSE2","ENSG00000114737",1154,"Cytokine-inducible SH2-containing protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SYT17","Q9BSW7","ENSG00000103528",51760,"Synaptotagmin-17","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"THSD1","Q9NS62","ENSG00000136114",55901,"Thrombospondin type-1 domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TIMELESS","Q9UNS1","ENSG00000111602",8914,"Protein timeless homolog","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TACC1","O75410","ENSG00000147526",6867,"Transforming acidic coiled-coil-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SERINC1","Q9NRX5","ENSG00000111897",57515,"Serine incorporator 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SERINC2","Q96SA4","ENSG00000168528",347735,"Serine incorporator 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SERINC3","Q13530","ENSG00000132824",10955,"Serine incorporator 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SERINC5","Q86VE9","ENSG00000164300",256987,"Serine incorporator 5","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TNFAIP8","O95379","ENSG00000145779",25816,"Tumor necrosis factor alpha-induced protein 8","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TNFAIP8L1","Q8WVP5","ENSG00000185361",126282,"Tumor necrosis factor alpha-induced protein 8-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ITM2A","O43736","ENSG00000078596",9452,"Integral membrane protein 2A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ITM2B","Q9Y287","ENSG00000136156",9445,"Integral membrane protein 2B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"WDR5","P61964","ENSG00000196363",11091,"WD repeat-containing protein 5","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"WSB1","Q9Y6I7","ENSG00000109046",26118,"WD repeat and SOCS box-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"WSB2","Q9NYS7","ENSG00000176871",55884,"WD repeat and SOCS box-containing protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AOX1","Q06278","ENSG00000138356",316,"Aldehyde oxidase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"XDH","P47989","ENSG00000158125",7498,"Xanthine dehydrogenase/oxidase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZDHHC21","Q8IVQ6","ENSG00000175893",340481,"Palmitoyltransferase ZDHHC21","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZDHHC24","Q6UX98","ENSG00000174165",254359,"Probable palmitoyltransferase ZDHHC24","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZDHHC7","Q9NXF8","ENSG00000153786",55625,"Palmitoyltransferase ZDHHC7","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MCM3AP","O60318","ENSG00000160294",8888,"Germinal-center associated nuclear protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GIMAP2","Q9UG22","ENSG00000106560",26157,"GTPase IMAP family member 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"GIMAP4","Q9NUV9","ENSG00000133574",55303,"GTPase IMAP family member 4","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PCYOX1","Q9UHG3","ENSG00000116005",51449,"Prenylcysteine oxidase 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"AMOTL1","Q8IY63","ENSG00000166025",154810,"Angiomotin-like protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARMCX3","Q9UH62","ENSG00000102401",51566,"Armadillo repeat-containing X-linked protein 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARMCX5","Q6P1M9","ENSG00000125962",64860,"Armadillo repeat-containing X-linked protein 5","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCL2L11","O43521","ENSG00000153094",10018,"Bcl-2-like protein 11","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BNIPL","Q7Z465","ENSG00000163141",149428,"Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TM2D1","Q9BX74","ENSG00000162604",83941,"TM2 domain-containing protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TM2D2","Q9BX73","ENSG00000169490",83877,"TM2 domain-containing protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CDC73","Q6P1J9","ENSG00000134371",79577,"Parafibromin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"RAD17","O75943","ENSG00000276618",5884,"Cell cycle checkpoint protein RAD17","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CPNE4","Q96A23","ENSG00000196353",131034,"Copine-4","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DLAT","P10515","ENSG00000150768",1737,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PROS1","P07225","ENSG00000184500",5627,"Vitamin K-dependent protein S","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PSMD7","P51665","ENSG00000103035",5713,"26S proteasome non-ATPase regulatory subunit 7","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ATG9A","Q7Z3C6","ENSG00000198925",79065,"Autophagy-related protein 9A","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCL2L13","Q9BXK5","ENSG00000099968",23786,"Bcl-2-like protein 13","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"FTL","P02792","ENSG00000087086",2512,"Ferritin light chain","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"HIGD1A","Q9Y241","ENSG00000181061",25994,"HIG1 domain family member 1A, mitochondrial","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"HIGD1B","Q9P298","ENSG00000131097",51751,"HIG1 domain family member 1B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PSMD14","O00487","ENSG00000115233",10213,"26S proteasome non-ATPase regulatory subunit 14","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"KATNB1","Q9BVA0","ENSG00000140854",10300,"Katanin p80 WD40 repeat-containing subunit B1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRRC8C","Q8TDW0","ENSG00000171488",84230,"Volume-regulated anion channel subunit LRRC8C","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"LRRC8D","Q7L1W4","ENSG00000171492",55144,"Volume-regulated anion channel subunit LRRC8D","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MAL","P21145","ENSG00000172005",4118,"Myelin and lymphocyte protein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MAL2","Q969L2","ENSG00000147676",114569,"Protein MAL2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MMAA","Q8IVH4","ENSG00000151611",166785,"Methylmalonic aciduria type A protein, mitochondrial","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"CD164","Q04900","ENSG00000135535",8763,"Sialomucin core protein 24","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"APRT","P07741","ENSG00000198931",353,"Adenine phosphoribosyltransferase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"BCL10","O95999","ENSG00000142867",8915,"B-cell lymphoma/leukemia 10","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PARD6A","Q9NPB6","ENSG00000102981",50855,"Partitioning defective 6 homolog alpha","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PARD6B","Q9BYG5","ENSG00000124171",84612,"Partitioning defective 6 homolog beta","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PTMA","P06454","ENSG00000187514",5757,"Prothymosin alpha","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"MOG","Q16653","ENSG00000234096",4340,"Myelin-oligodendrocyte glycoprotein","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPSB2","Q99619","ENSG00000111671",84727,"SPRY domain-containing SOCS box protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPSB3","Q6PJ21","ENSG00000162032",90864,"SPRY domain-containing SOCS box protein 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SOCS2","O14508","ENSG00000120833",8835,"Suppressor of cytokine signaling 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SOCS3","O14543","ENSG00000184557",9021,"Suppressor of cytokine signaling 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TACC2","O95359","ENSG00000138162",10579,"Transforming acidic coiled-coil-containing protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"TACC3","Q9Y6A5","ENSG00000013810",10460,"Transforming acidic coiled-coil-containing protein 3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ITM2C","Q9NQX7","ENSG00000135916",81618,"Integral membrane protein 2C","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ARHGEF10","O15013","ENSG00000274726",9639,"Rho guanine nucleotide exchange factor 10","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZDHHC3","Q9NYG2","ENSG00000163812",51304,"Palmitoyltransferase ZDHHC3","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ZDHHC4","Q9NPG8","ENSG00000136247",55146,"Palmitoyltransferase ZDHHC4","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"F5","P12259","ENSG00000198734",2153,"Coagulation factor V","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"NETO2","Q8NC67","ENSG00000171208",81831,"Neuropilin and tolloid-like protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"YPEL2","Q96QA6","ENSG00000175155",388403,"Protein yippee-like 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"ATG9B","Q674R7","ENSG00000181652",285973,"Autophagy-related protein 9B","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"VANGL2","Q9ULK5","ENSG00000162738",57216,"Vang-like protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DKK1","O94907","ENSG00000107984",22943,"Dickkopf-related protein 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PARD6G","Q9BYG4","ENSG00000178184",84552,"Partitioning defective 6 homolog gamma","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"PNN","Q9H307","ENSG00000100941",5411,"Pinin","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"SPRYD4","Q8WW59","ENSG00000176422",283377,"SPRY domain-containing protein 4","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"DPH1","Q9BZG8","ENSG00000108963",1801,"2-(3-amino-3-carboxypropyl)histidine synthase subunit 1","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"IFITM2","Q01629","ENSG00000185201",10581,"Interferon-induced transmembrane protein 2","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
"RIDA","P52758","ENSG00000132541",10247,"2-iminobutanoate/2-iminopropanoate deaminase","Gain Loss Fcn BG (All tested; see CFTR effectors tab for details)"
